Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Profit of customer - $Mn,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training1362,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.340 , 7.8 , 74 ,52
Training1363,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36, 0.340 , 6.4 , 64 ,66
Training1364,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.668 , 5.1 , 45 ,63
Training1365,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, (0.051), 9.7 , 45 ,60
Training1366,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.195 , 8.6 , 65 ,51
Training1367,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.210 , 7.5 , 33 ,54
Training1368,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.825 , 8.3 , 42 ,52
Training1369,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.371 , 5.4 , 37 ,75
Training1370,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.820 , 7.7 , 49 ,64
Training1371,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.080 , 11.3 , 47 ,65
Training1372,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68, 1.112 , 10.9 , 37 ,63
Training1373,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.013 , 6.7 , 35 ,51
Training1374,Lost,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30, 1.225 , 6.1 , 70 ,63
Training1375,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.858 , 7.3 , 56 ,60
Training1376,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.447 , 7.1 , 62 ,45
Training1377,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.052 , 6.7 , 53 ,64
Training1378,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.691 , 7.7 , 50 ,61
Training1379,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.069 , 7.8 , 57 ,53
Training1380,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.416 , 9.0 , 51 ,61
Training1381,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.393 , 9.4 , 36 ,64
Training1382,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.554 , 10.1 , 62 ,78
Training1383,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69, 0.889 , 10.1 , 56 ,46
Training1384,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 1.662 , 7.7 , 44 ,56
Training1385,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.362 , 9.2 , 45 ,54
Training1386,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.918 , 10.5 , 41 ,75
Training1387,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 2.460 , 4.0 , 49 ,51
Training1388,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 0.477 , 6.4 , 50 ,70
Training1389,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.409 , 9.4 , 53 ,64
Training1390,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 1.329 , 5.4 , 53 ,71
Training1391,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.582 , 9.8 , 45 ,57
Training1392,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.720 , 7.9 , 45 ,52
Training1393,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.010 , 9.4 , 44 ,72
Training1394,Lost,Procsys,Energy,UK,"Procsys,Energy,UK",34, 1.353 , 7.2 , 61 ,47
Training1395,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 0.033 , 8.4 , 45 ,64
Training1396,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.985 , 9.6 , 42 ,50
Training1397,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.612 , 8.3 , 39 ,66
Training1398,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 1.563 , 9.4 , 53 ,63
Training1399,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36, 1.454 , 7.7 , 46 ,69
Training1400,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.010 , 8.2 , 61 ,61
Training1401,Won,GTMSys,Defense,Africa,"GTMSys,Defense,Africa",25, 0.314 , 4.3 , 38 ,71
Training1402,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.345 , 8.0 , 56 ,100
Training1403,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.720 , 9.7 , 52 ,52
Training1404,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.542 , 8.4 , 47 ,54
Training1405,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.311 , 6.8 , 36 ,51
Training1406,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.010 , 9.4 , 46 ,69
Training1407,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.132 , 12.0 , 69 ,60
Training1408,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.757 , 9.4 , 58 ,55
Training1409,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, 1.097 , 7.4 , 54 ,100
Training1410,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 0.730 , 9.4 , 59 ,60
Training1411,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.479 , 9.4 , 37 ,64
Training1412,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.864 , 5.9 , 62 ,56
Training1413,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.347 , 10.0 , 55 ,70
Training1414,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.428 , 7.0 , 62 ,63
Training1415,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.783 , 5.1 , 47 ,56
Training1416,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.115 , 6.6 , 66 ,41
Training1417,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.019 , 8.0 , 46 ,43
Training1418,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.064 , 10.0 , 41 ,53
Training1419,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, (0.561), 8.0 , 38 ,69
Training1420,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.933 , 8.2 , 59 ,56
Training1421,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.727 , 10.3 , 50 ,75
Training1422,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.155 , 10.9 , 44 ,73
Training1423,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.181 , 10.1 , 40 ,62
Training1424,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 1.092 , 6.6 , 52 ,63
Training1425,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.538 , 8.6 , 43 ,57
Training1426,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36, 1.152 , 8.6 , 53 ,50
Training1427,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.382 , 6.1 , 35 ,51
Training1428,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.179 , 8.8 , 33 ,39
Training1429,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.186 , 8.0 , 65 ,69
Training1430,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.049 , 5.8 , 27 ,62
Training1431,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 0.919 , 5.7 , 38 ,47
Training1432,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 0.047 , 10.0 , 48 ,67
Training1433,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.416 , 7.4 , 44 ,100
Training1434,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 0.415 , 7.3 , 23 ,67
Training1435,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36, 0.881 , 9.4 , 52 ,69
Training1436,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.158 , 10.9 , 46 ,62
Training1437,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 0.480 , 7.2 , 21 ,61
Training1438,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.476 , 7.6 , 53 ,55
Training1439,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.323 , 6.8 , 58 ,63
Training1440,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.959 , 6.4 , 63 ,77
Training1441,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68, 1.386 , 6.7 , 49 ,69
Training1442,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.225 , 8.4 , 56 ,100
Training1443,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.584 , 5.6 , 62 ,79
Training1444,Lost,GTMSys,Agriculture,Other Europe,"GTMSys,Agriculture,Other Europe",26, 1.614 , 7.5 , 54 ,67
Training1445,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.420 , 8.7 , 54 ,68
Training1446,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.418 , 10.1 , 68 ,51
Training1447,Lost,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71, 0.964 , 7.8 , 46 ,44
Training1448,Lost,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71, 0.891 , 7.7 , 42 ,69
Training1449,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.443 , 6.8 , 61 ,59
Training1450,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.662 , 9.7 , 43 ,61
Training1451,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 1.791 , 8.0 , 45 ,50
Training1452,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 0.925 , 7.9 , 60 ,53
Training1453,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 0.647 , 7.6 , 50 ,49
Training1454,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.878 , 9.3 , 50 ,70
Training1455,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.864 , 5.7 , 51 ,61
Training1456,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.512 , 8.3 , 32 ,40
Training1457,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.709 , 11.0 , 60 ,73
Training1458,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.254 , 9.5 , 38 ,45
Training1459,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.659 , 7.8 , 66 ,72
Training1460,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.986 , 8.7 , 47 ,62
Training1461,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.822 , 9.1 , 36 ,50
Training1462,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32, 0.853 , 8.3 , 61 ,56
Training1463,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.590 , 6.7 , 68 ,71
Training1464,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 0.946 , 7.5 , 40 ,56
Training1465,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.089 , 10.3 , 39 ,51
Training1466,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.010 , 3.4 , 55 ,50
Training1467,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.093 , 8.3 , 48 ,67
Training1468,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 0.785 , 10.7 , 42 ,100
Training1469,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.720 , 10.1 , 31 ,57
Training1470,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 1.491 , 4.9 , 51 ,75
Training1471,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.345 , 11.0 , 67 ,43
Training1472,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69, 0.812 , 7.6 , 46 ,68
Training1473,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.997 , 9.8 , 48 ,54
Training1474,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 0.482 , 7.5 , 46 ,68
Training1475,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.257 , 9.8 , 55 ,41
Training1476,Won,Lifesys,Capital Markets,UK,"Lifesys,Capital Markets,UK",27, 0.557 , 6.7 , 44 ,59
Training1477,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.595 , 9.8 , 59 ,51
Training1478,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 2.112 , 8.5 , 44 ,62
Training1479,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.834 , 4.3 , 40 ,78
Training1480,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.646 , 8.5 , 45 ,49
Training1481,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 1.838 , 9.0 , 60 ,54
Training1482,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 2.603 , 10.5 , 58 ,64
Training1483,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.549 , 7.4 , 40 ,59
Training1484,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.355 , 5.8 , 55 ,71
Training1485,Won,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, 0.765 , 8.5 , 48 ,62
Training1486,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.252 , 10.3 , 58 ,73
Training1487,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.013 , 9.4 , 46 ,60
Training1488,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.257 , 8.1 , 62 ,51
Training1489,Won,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, 0.473 , 4.6 , 49 ,56
Training1490,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, (0.145), 11.1 , 36 ,55
Training1491,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 0.351 , 8.3 , 46 ,64
Training1492,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.264 , 4.6 , 58 ,56
Training1493,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.563 , 8.0 , 39 ,71
Training1494,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 1.484 , 7.5 , 52 ,54
Training1495,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.725 , 8.4 , 39 ,48
Training1496,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.952 , 8.5 , 45 ,67
Training1497,Won,Procsys,Security,India,"Procsys,Security,India",44, (0.061), 11.1 , 52 ,62
Training1498,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, 1.132 , 10.6 , 49 ,66
Training1499,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 0.496 , 6.2 , 46 ,40
Training1500,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 1.565 , 6.0 , 35 ,71
Training1501,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 0.878 , 5.5 , 50 ,59
Training1502,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66, 0.947 , 7.5 , 38 ,57
Training1503,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32, 0.937 , 9.5 , 45 ,59
Training1504,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 1.340 , 6.5 , 43 ,68
Training1505,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.293 , 7.4 , 55 ,60
Training1506,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.117 , 11.1 , 43 ,42
Training1507,Won,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69, 0.568 , 1.6 , 43 ,49
Training1508,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 0.728 , 5.8 , 57 ,67
Training1509,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, 0.820 , 6.0 , 46 ,60
Training1510,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 0.415 , 7.9 , 45 ,50
Training1511,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.917 , 11.0 , 61 ,58
Training1512,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.162 , 9.5 , 45 ,78
Training1513,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.923 , 7.8 , 60 ,48
Training1514,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32, 0.274 , 8.0 , 55 ,75
Training1515,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 1.202 , 5.9 , 44 ,75
Training1516,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.896 , 5.5 , 46 ,60
Training1517,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.010 , 5.7 , 58 ,41
Training1518,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 0.740 , 9.6 , 45 ,54
Training1519,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.639 , 5.5 , 53 ,63
Training1520,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 1.507 , 8.7 , 35 ,48
Training1521,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, (0.062), 6.2 , 47 ,58
Training1522,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, 1.225 , 8.9 , 50 ,57
Training1523,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.267 , 5.7 , 27 ,100
Training1524,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.817 , 9.6 , 69 ,75
Training1525,Won,Procsys,Security,India,"Procsys,Security,India",44, 1.090 , 6.5 , 49 ,62
Training1526,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.264 , 7.5 , 51 ,65
Training1527,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66, 0.993 , 10.0 , 40 ,57
Training1528,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68, 1.157 , 9.0 , 49 ,55
Training1529,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.578 , 7.2 , 54 ,61
Training1530,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30, 1.010 , 6.4 , 53 ,44
Training1531,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.111 , 7.7 , 59 ,61
Training1532,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.080 , 6.2 , 47 ,50
Training1533,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.586 , 7.0 , 47 ,54
Training1534,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.964 , 10.2 , 57 ,56
Training1535,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.790 , 6.1 , 57 ,59
Training1536,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69, 0.917 , 9.4 , 50 ,56
Training1537,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 1.188 , 8.5 , 30 ,74
Training1538,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.645 , 5.1 , 61 ,56
Training1539,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.258 , 7.2 , 69 ,67
Training1540,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.810 , 10.0 , 43 ,66
Training1541,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.657 , 10.7 , 36 ,47
Training1542,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.495 , 7.3 , 58 ,75
Training1543,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 0.896 , 3.8 , 49 ,70
Training1544,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 1.039 , 7.9 , 47 ,52
Training1545,Won,GTMSys,Defense,Africa,"GTMSys,Defense,Africa",25, 0.540 , 7.9 , 69 ,72
Training1546,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, 0.609 , 9.2 , 34 ,48
Training1547,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.309 , 12.3 , 46 ,54
Training1548,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.211 , 10.6 , 36 ,63
Training1549,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.058 , 10.5 , 53 ,68
Training1550,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.531 , 6.0 , 32 ,73
Training1551,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 0.889 , 9.0 , 57 ,53
Training1552,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 0.890 , 13.0 , 62 ,100
Training1553,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.083 , 9.3 , 46 ,73
Training1554,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.072 , 7.0 , 36 ,62
Training1555,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 1.507 , 6.2 , 49 ,43
Training1556,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 1.563 , 8.1 , 66 ,54
Training1557,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, (0.152), 12.5 , 39 ,50
Training1558,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.284 , 7.6 , 55 ,53
Training1559,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 1.333 , 5.5 , 45 ,51
Training1560,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.589 , 8.0 , 45 ,63
Training1561,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.332 , 3.4 , 56 ,66
Training1562,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.582 , 3.9 , 57 ,42
Training1563,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36, 1.855 , 7.1 , 68 ,46
Training1564,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.129 , 7.1 , 78 ,71
Training1565,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.493 , 8.5 , 66 ,78
Training1566,Lost,GTMSys,Other Govt.,Other Europe,"GTMSys,Other Govt.,Other Europe",72, 1.123 , 10.9 , 52 ,62
Training1567,Lost,Procsys,Security,UK,"Procsys,Security,UK",76, 0.617 , 10.9 , 50 ,61
Training1568,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.050 , 11.2 , 45 ,56
Training1569,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.901 , 7.1 , 40 ,100
Training1570,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.277 , 10.8 , 56 ,62
Training1571,Lost,Procsys,Energy,UK,"Procsys,Energy,UK",34, 1.299 , 13.3 , 62 ,69
Training1572,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.089 , 9.3 , 61 ,53
Training1573,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.199 , 8.6 , 53 ,67
Training1574,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 0.340 , 8.8 , 52 ,61
Training1575,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32, 0.497 , 9.3 , 34 ,70
Training1576,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66, 0.672 , 6.9 , 51 ,49
Training1577,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 2.306 , 8.9 , 58 ,40
Training1578,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 0.894 , 7.0 , 48 ,29
Training1579,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.018 , 8.4 , 45 ,100
Training1580,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.755 , 8.1 , 31 ,73
Training1581,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.711 , 9.4 , 44 ,58
Training1582,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30, 0.143 , 6.4 , 54 ,54
Training1583,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 0.046 , 4.6 , 66 ,70
Training1584,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.620 , 10.3 , 40 ,55
Training1585,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.750 , 7.4 , 60 ,100
Training1586,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.947 , 8.5 , 47 ,65
Training1587,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.150 , 9.3 , 55 ,55
Training1588,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.528 , 11.0 , 58 ,62
Training1589,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.517 , 8.3 , 57 ,49
Training1590,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.331 , 7.1 , 62 ,63
Training1591,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.671 , 8.3 , 43 ,49
Training1592,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 0.485 , 4.7 , 50 ,64
Training1593,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.093 , 10.0 , 64 ,35
Training1594,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 0.990 , 9.7 , 38 ,77
Training1595,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.436 , 9.1 , 35 ,46
